MeanTemp,Description,Incidents,Level
22,ROBBERY - RESIDENCE,0.666666667,Low
22,SHOOTING,0.833333333,Low
23,ARSON,0.5,Low
23,HOMICIDE,0.5,Low
23,RAPE,0.25,Low
23,ROBBERY - CARJACKING,0.5,Low
23,ROBBERY - COMMERCIAL,2.5,Low
23,ROBBERY - RESIDENCE,0.25,Low
23,SHOOTING,1,Low
24,ARSON,0.333333333,Low
24,HOMICIDE,0.416666667,Low
24,RAPE,0.666666667,Low
24,ROBBERY - CARJACKING,1.083333333,Low
24,ROBBERY - COMMERCIAL,2.083333333,Low
24,ROBBERY - RESIDENCE,1.166666667,Low
24,SHOOTING,0.916666667,Low
25,ARSON,0.25,Low
25,HOMICIDE,0.5,Low
25,RAPE,1.25,Low
25,ROBBERY - CARJACKING,1.75,Low
25,ROBBERY - COMMERCIAL,3.75,Low
25,ROBBERY - RESIDENCE,1,Low
25,SHOOTING,0.25,Low
26,ARSON,0.714285714,Low
26,HOMICIDE,0.714285714,Low
26,RAPE,0.571428571,Low
26,ROBBERY - CARJACKING,0.714285714,Low
26,ROBBERY - COMMERCIAL,2.571428571,Low
26,ROBBERY - RESIDENCE,0.571428571,Low
26,SHOOTING,1.714285714,Low
27,ARSON,0.4,Low
27,HOMICIDE,0.6,Low
27,RAPE,0.6,Low
27,ROBBERY - CARJACKING,0.6,Low
27,ROBBERY - COMMERCIAL,2.2,Low
27,ROBBERY - RESIDENCE,0.6,Low
27,SHOOTING,1.6,Low
28,ARSON,0.333333333,Low
28,HOMICIDE,0.866666667,Low
28,RAPE,0.266666667,Low
28,ROBBERY - CARJACKING,1.133333333,Low
28,ROBBERY - COMMERCIAL,2.2,Low
28,ROBBERY - RESIDENCE,1,Low
28,SHOOTING,2,Low
29,ARSON,0.5,Low
29,HOMICIDE,0.333333333,Low
29,RAPE,0.583333333,Low
29,ROBBERY - CARJACKING,0.833333333,Low
29,ROBBERY - COMMERCIAL,1.583333333,Low
29,ROBBERY - RESIDENCE,0.833333333,Low
29,SHOOTING,1.416666667,Low
30,ARSON,0.615384615,Low
30,HOMICIDE,0.846153846,Low
30,RAPE,0.538461538,Low
30,ROBBERY - CARJACKING,1.769230769,Low
30,ROBBERY - COMMERCIAL,3.230769231,Low
30,ROBBERY - RESIDENCE,1.230769231,Low
30,SHOOTING,1.615384615,Low
31,ARSON,0.352941176,Low
31,HOMICIDE,0.411764706,Low
31,RAPE,0.529411765,Low
31,ROBBERY - CARJACKING,1.529411765,Low
31,ROBBERY - COMMERCIAL,2.764705882,Low
31,ROBBERY - RESIDENCE,0.882352941,Low
31,SHOOTING,1,Low
32,ARSON,0.428571429,Low
32,HOMICIDE,0.380952381,Low
32,RAPE,0.571428571,Low
32,ROBBERY - CARJACKING,1.142857143,Low
32,ROBBERY - COMMERCIAL,2.666666667,Low
32,ROBBERY - RESIDENCE,1.523809524,Low
32,SHOOTING,0.476190476,Low
33,ARSON,0.346153846,Low
33,HOMICIDE,0.538461538,Low
33,RAPE,0.307692308,Low
33,ROBBERY - CARJACKING,0.653846154,Low
33,ROBBERY - COMMERCIAL,2.230769231,Low
33,ROBBERY - RESIDENCE,1.269230769,Low
33,SHOOTING,1.653846154,Low
34,ARSON,0.291666667,Low
34,HOMICIDE,0.708333333,Low
34,RAPE,0.666666667,Low
34,ROBBERY - CARJACKING,1.583333333,Low
34,ROBBERY - COMMERCIAL,2.541666667,Low
34,ROBBERY - RESIDENCE,1.416666667,Low
34,SHOOTING,1.25,Low
35,ARSON,0.358974359,Low
35,HOMICIDE,0.743589744,Low
35,RAPE,0.897435897,Low
35,ROBBERY - CARJACKING,0.974358974,Low
35,ROBBERY - COMMERCIAL,2.923076923,Low
35,ROBBERY - RESIDENCE,0.871794872,Low
35,SHOOTING,1.230769231,Low
36,ARSON,0.423076923,Low
36,HOMICIDE,0.538461538,Low
36,RAPE,0.538461538,Low
36,ROBBERY - CARJACKING,1.038461538,Low
36,ROBBERY - COMMERCIAL,2.384615385,Low
36,ROBBERY - RESIDENCE,1.076923077,Low
36,SHOOTING,1.461538462,Low
37,ARSON,0.37037037,Low
37,HOMICIDE,0.592592593,Low
37,RAPE,0.481481481,Low
37,ROBBERY - CARJACKING,1.518518519,Low
37,ROBBERY - COMMERCIAL,2.814814815,Low
37,ROBBERY - RESIDENCE,1.925925926,Low
37,SHOOTING,1.37037037,Low
38,ARSON,0.555555556,Low
38,HOMICIDE,0.777777778,Low
38,RAPE,0.888888889,Low
38,ROBBERY - CARJACKING,1.555555556,Low
38,ROBBERY - COMMERCIAL,1.75,Low
38,ROBBERY - RESIDENCE,1.305555556,Low
38,SHOOTING,1.75,Low
39,ARSON,0.2,Low
39,HOMICIDE,0.56,Low
39,RAPE,0.68,Low
39,ROBBERY - CARJACKING,1.08,Low
39,ROBBERY - COMMERCIAL,1.48,Low
39,ROBBERY - RESIDENCE,1.44,Low
39,SHOOTING,0.96,Low
40,ARSON,0.777777778,Low
40,HOMICIDE,0.407407407,Low
40,RAPE,0.444444444,Low
40,ROBBERY - CARJACKING,1.185185185,Low
40,ROBBERY - COMMERCIAL,2.555555556,Low
40,ROBBERY - RESIDENCE,1.074074074,Low
40,SHOOTING,1.259259259,Low
41,ARSON,0.473684211,Low
41,HOMICIDE,0.894736842,Low
41,RAPE,0.631578947,Low
41,ROBBERY - CARJACKING,1.447368421,Low
41,ROBBERY - COMMERCIAL,2.842105263,Low
41,ROBBERY - RESIDENCE,1.289473684,Low
41,SHOOTING,1.842105263,Low
42,ARSON,0.433333333,Low
42,HOMICIDE,0.633333333,Low
42,RAPE,0.666666667,Low
42,ROBBERY - CARJACKING,0.966666667,Low
42,ROBBERY - COMMERCIAL,2.3,Low
42,ROBBERY - RESIDENCE,1.9,Low
42,SHOOTING,1.366666667,Low
43,ARSON,0.741935484,Low
43,HOMICIDE,0.516129032,Low
43,RAPE,0.580645161,Low
43,ROBBERY - CARJACKING,1.096774194,Low
43,ROBBERY - COMMERCIAL,2.387096774,Low
43,ROBBERY - RESIDENCE,1.064516129,Low
43,SHOOTING,1.290322581,Low
44,ARSON,0.384615385,Low
44,HOMICIDE,0.576923077,Low
44,RAPE,0.769230769,Low
44,ROBBERY - CARJACKING,0.923076923,Low
44,ROBBERY - COMMERCIAL,2.384615385,Low
44,ROBBERY - RESIDENCE,1,Low
44,SHOOTING,1.846153846,Low
45,ARSON,0.612903226,Low
45,HOMICIDE,0.838709677,Low
45,RAPE,0.516129032,Low
45,ROBBERY - CARJACKING,1.064516129,Low
45,ROBBERY - COMMERCIAL,2.322580645,Low
45,ROBBERY - RESIDENCE,1.580645161,Low
45,SHOOTING,1.35483871,Low
46,ARSON,0.3125,Low
46,HOMICIDE,0.625,Low
46,RAPE,1.125,Low
46,ROBBERY - CARJACKING,1.15625,Low
46,ROBBERY - COMMERCIAL,2.21875,Low
46,ROBBERY - RESIDENCE,1.25,Low
46,SHOOTING,1.25,Low
47,ARSON,0.351351351,Low
47,HOMICIDE,0.810810811,Low
47,RAPE,0.648648649,Low
47,ROBBERY - CARJACKING,1.162162162,Low
47,ROBBERY - COMMERCIAL,2.351351351,Low
47,ROBBERY - RESIDENCE,1.27027027,Low
47,SHOOTING,1.432432432,Low
48,ARSON,0.684210526,Low
48,HOMICIDE,0.526315789,Low
48,RAPE,1.210526316,Low
48,ROBBERY - CARJACKING,1.315789474,Low
48,ROBBERY - COMMERCIAL,2.947368421,Low
48,ROBBERY - RESIDENCE,1.105263158,Low
48,SHOOTING,1.631578947,Low
49,ARSON,0.307692308,Low
49,HOMICIDE,0.538461538,Low
49,RAPE,0.884615385,Low
49,ROBBERY - CARJACKING,1.384615385,Low
49,ROBBERY - COMMERCIAL,2.576923077,Low
49,ROBBERY - RESIDENCE,1,Low
49,SHOOTING,1.076923077,Low
50,ARSON,0.884615385,Low
50,HOMICIDE,0.961538462,Low
50,RAPE,0.384615385,Low
50,ROBBERY - CARJACKING,1.269230769,Low
50,ROBBERY - COMMERCIAL,2.576923077,Low
50,ROBBERY - RESIDENCE,1.5,Low
50,SHOOTING,1.423076923,Low
51,ARSON,0.529411765,Low
51,HOMICIDE,0.705882353,Low
51,RAPE,1.088235294,Low
51,ROBBERY - CARJACKING,1.352941176,Low
51,ROBBERY - COMMERCIAL,2.352941176,Low
51,ROBBERY - RESIDENCE,1.147058824,Low
51,SHOOTING,1.205882353,Low
52,ARSON,0.488372093,Low
52,HOMICIDE,0.76744186,Low
52,RAPE,0.813953488,Low
52,ROBBERY - CARJACKING,1.162790698,Low
52,ROBBERY - COMMERCIAL,1.930232558,Low
52,ROBBERY - RESIDENCE,1.023255814,Low
52,SHOOTING,1.511627907,Low
53,ARSON,0.666666667,Low
53,HOMICIDE,0.619047619,Low
53,RAPE,0.952380952,Low
53,ROBBERY - CARJACKING,1.238095238,Low
53,ROBBERY - COMMERCIAL,2.047619048,Low
53,ROBBERY - RESIDENCE,1.666666667,Low
53,SHOOTING,1.095238095,Low
54,ARSON,0.586206897,Low
54,HOMICIDE,0.827586207,Low
54,RAPE,1.034482759,Low
54,ROBBERY - CARJACKING,1.172413793,Low
54,ROBBERY - COMMERCIAL,2.551724138,Low
54,ROBBERY - RESIDENCE,1.517241379,Low
54,SHOOTING,1.965517241,Low
55,ARSON,0.535714286,Low
55,HOMICIDE,0.464285714,Low
55,RAPE,0.964285714,Low
55,ROBBERY - CARJACKING,0.892857143,Low
55,ROBBERY - COMMERCIAL,2.25,Low
55,ROBBERY - RESIDENCE,1.75,Low
55,SHOOTING,1.321428571,Low
56,ARSON,1.103448276,Low
56,HOMICIDE,0.413793103,Low
56,RAPE,1.172413793,Low
56,ROBBERY - CARJACKING,1.206896552,Low
56,ROBBERY - COMMERCIAL,2.586206897,Low
56,ROBBERY - RESIDENCE,1.482758621,Low
56,SHOOTING,1.310344828,Low
57,ARSON,0.476190476,Low
57,HOMICIDE,0.857142857,Low
57,RAPE,0.761904762,Low
57,ROBBERY - CARJACKING,1.380952381,Low
57,ROBBERY - COMMERCIAL,2.428571429,Low
57,ROBBERY - RESIDENCE,1.095238095,Low
57,SHOOTING,2.19047619,Low
58,ARSON,0.6,Low
58,HOMICIDE,0.633333333,Low
58,RAPE,0.666666667,Low
58,ROBBERY - CARJACKING,1.066666667,Low
58,ROBBERY - COMMERCIAL,2.3,Low
58,ROBBERY - RESIDENCE,1.533333333,Low
58,SHOOTING,1.566666667,Low
59,ARSON,0.777777778,Low
59,HOMICIDE,1.055555556,Low
59,RAPE,0.722222222,Low
59,ROBBERY - CARJACKING,0.833333333,Low
59,ROBBERY - COMMERCIAL,2.777777778,Low
59,ROBBERY - RESIDENCE,1.444444444,Low
59,SHOOTING,2.222222222,Low
60,ARSON,0.5,Low
60,HOMICIDE,0.875,Low
60,RAPE,1.09375,Low
60,ROBBERY - CARJACKING,1.09375,Low
60,ROBBERY - COMMERCIAL,2.625,Low
60,ROBBERY - RESIDENCE,1,Low
60,SHOOTING,1.1875,Low
61,ARSON,0.785714286,Low
61,HOMICIDE,0.75,Low
61,RAPE,0.607142857,Low
61,ROBBERY - CARJACKING,1.035714286,Low
61,ROBBERY - COMMERCIAL,1.75,Low
61,ROBBERY - RESIDENCE,1.714285714,Low
61,SHOOTING,1.75,Low
62,ARSON,0.685714286,Low
62,HOMICIDE,0.828571429,Low
62,RAPE,0.942857143,Low
62,ROBBERY - CARJACKING,1,Low
62,ROBBERY - COMMERCIAL,1.971428571,Low
62,ROBBERY - RESIDENCE,1.228571429,Low
62,SHOOTING,1.914285714,Low
63,ARSON,0.703703704,Low
63,HOMICIDE,0.666666667,Low
63,RAPE,0.740740741,Low
63,ROBBERY - CARJACKING,0.518518519,Low
63,ROBBERY - COMMERCIAL,2.407407407,Low
63,ROBBERY - RESIDENCE,1.074074074,Low
63,SHOOTING,1.518518519,Low
64,ARSON,0.4,Low
64,HOMICIDE,0.84,Low
64,RAPE,1.04,Low
64,ROBBERY - CARJACKING,1.08,Low
64,ROBBERY - COMMERCIAL,3.08,Low
64,ROBBERY - RESIDENCE,1.32,Low
64,SHOOTING,1.96,Low
65,ARSON,0.448275862,Low
65,HOMICIDE,0.586206897,Low
65,RAPE,0.793103448,Low
65,ROBBERY - CARJACKING,1.206896552,Low
65,ROBBERY - COMMERCIAL,2.24137931,Low
65,ROBBERY - RESIDENCE,1.344827586,Low
65,SHOOTING,1.379310345,Low
66,ARSON,0.428571429,Low
66,HOMICIDE,0.619047619,Low
66,RAPE,0.523809524,Low
66,ROBBERY - CARJACKING,1.476190476,Low
66,ROBBERY - COMMERCIAL,2.142857143,Low
66,ROBBERY - RESIDENCE,1.095238095,Low
66,SHOOTING,1.571428571,Low
67,ARSON,0.5,Low
67,HOMICIDE,0.8,Low
67,RAPE,1.066666667,Low
67,ROBBERY - CARJACKING,0.933333333,Low
67,ROBBERY - COMMERCIAL,2.366666667,Low
67,ROBBERY - RESIDENCE,1.066666667,Low
67,SHOOTING,2.533333333,Low
68,ARSON,0.583333333,Low
68,HOMICIDE,0.833333333,Low
68,RAPE,0.791666667,Low
68,ROBBERY - CARJACKING,1.166666667,Low
68,ROBBERY - COMMERCIAL,2.416666667,Low
68,ROBBERY - RESIDENCE,1.125,Low
68,SHOOTING,2.166666667,Low
69,ARSON,0.424242424,Low
69,HOMICIDE,0.848484848,Low
69,RAPE,0.878787879,Low
69,ROBBERY - CARJACKING,1.060606061,Low
69,ROBBERY - COMMERCIAL,2.181818182,Low
69,ROBBERY - RESIDENCE,1.333333333,Low
69,SHOOTING,1.393939394,Low
70,ARSON,0.652173913,Low
70,HOMICIDE,0.52173913,Low
70,RAPE,0.956521739,Low
70,ROBBERY - CARJACKING,1.217391304,Low
70,ROBBERY - COMMERCIAL,2.739130435,Low
70,ROBBERY - RESIDENCE,1.52173913,Low
70,SHOOTING,2.260869565,Low
71,ARSON,0.488888889,Low
71,HOMICIDE,0.688888889,Low
71,RAPE,0.977777778,Low
71,ROBBERY - CARJACKING,1.355555556,Low
71,ROBBERY - COMMERCIAL,2.4,Low
71,ROBBERY - RESIDENCE,1.133333333,Low
71,SHOOTING,2.244444444,Low
72,ARSON,0.816326531,Low
72,HOMICIDE,0.836734694,Low
72,RAPE,0.897959184,Low
72,ROBBERY - CARJACKING,1.12244898,Low
72,ROBBERY - COMMERCIAL,2.551020408,Low
72,ROBBERY - RESIDENCE,1.163265306,Low
72,SHOOTING,1.87755102,Low
73,ARSON,0.651162791,Low
73,HOMICIDE,0.697674419,Low
73,RAPE,0.953488372,Low
73,ROBBERY - CARJACKING,1.162790698,Low
73,ROBBERY - COMMERCIAL,2.558139535,Low
73,ROBBERY - RESIDENCE,1.372093023,Low
73,SHOOTING,1.930232558,Low
74,ARSON,0.589285714,Low
74,HOMICIDE,0.910714286,Low
74,RAPE,0.857142857,Low
74,ROBBERY - CARJACKING,1.446428571,Low
74,ROBBERY - COMMERCIAL,2.303571429,Low
74,ROBBERY - RESIDENCE,1.107142857,Low
74,SHOOTING,2.267857143,Low
75,ARSON,0.622222222,Low
75,HOMICIDE,0.777777778,Low
75,RAPE,0.977777778,Low
75,ROBBERY - CARJACKING,1.333333333,Low
75,ROBBERY - COMMERCIAL,2.444444444,Low
75,ROBBERY - RESIDENCE,1.666666667,Low
75,SHOOTING,1.977777778,Low
76,ARSON,0.666666667,Low
76,HOMICIDE,0.916666667,Low
76,RAPE,0.783333333,Low
76,ROBBERY - CARJACKING,1.466666667,Low
76,ROBBERY - COMMERCIAL,2.416666667,Low
76,ROBBERY - RESIDENCE,1.266666667,Low
76,SHOOTING,2.416666667,Low
77,ARSON,0.441860465,Low
77,HOMICIDE,0.837209302,Low
77,RAPE,0.627906977,Low
77,ROBBERY - CARJACKING,1.325581395,Low
77,ROBBERY - COMMERCIAL,2.674418605,Low
77,ROBBERY - RESIDENCE,1.372093023,Low
77,SHOOTING,2.046511628,Low
78,ARSON,0.466666667,Low
78,HOMICIDE,0.577777778,Low
78,RAPE,0.555555556,Low
78,ROBBERY - CARJACKING,1.355555556,Low
78,ROBBERY - COMMERCIAL,2.333333333,Low
78,ROBBERY - RESIDENCE,1.555555556,Low
78,SHOOTING,1.844444444,Low
79,ARSON,0.56097561,Low
79,HOMICIDE,0.951219512,Low
79,RAPE,0.926829268,Low
79,ROBBERY - CARJACKING,1.390243902,Low
79,ROBBERY - COMMERCIAL,2.536585366,Low
79,ROBBERY - RESIDENCE,1.390243902,Low
79,SHOOTING,2.195121951,Low
80,ARSON,0.490196078,Low
80,HOMICIDE,0.764705882,Low
80,RAPE,0.980392157,Low
80,ROBBERY - CARJACKING,1.294117647,Low
80,ROBBERY - COMMERCIAL,2.450980392,Low
80,ROBBERY - RESIDENCE,1.725490196,Low
80,SHOOTING,1.725490196,Low
81,ARSON,0.333333333,Low
81,HOMICIDE,0.888888889,Low
81,RAPE,0.925925926,Low
81,ROBBERY - CARJACKING,1,Low
81,ROBBERY - COMMERCIAL,1.851851852,Low
81,ROBBERY - RESIDENCE,1.62962963,Low
81,SHOOTING,1.888888889,Low
82,ARSON,0.65,Low
82,HOMICIDE,1.05,Low
82,RAPE,0.95,Low
82,ROBBERY - CARJACKING,1.9,Low
82,ROBBERY - COMMERCIAL,2.2,Low
82,ROBBERY - RESIDENCE,1.5,Low
82,SHOOTING,2.25,Low
83,ARSON,0.384615385,Low
83,HOMICIDE,1.115384615,Low
83,RAPE,0.884615385,Low
83,ROBBERY - CARJACKING,1.269230769,Low
83,ROBBERY - COMMERCIAL,2.115384615,Low
83,ROBBERY - RESIDENCE,1.923076923,Low
83,SHOOTING,2.115384615,Low
84,ARSON,0.923076923,Low
84,HOMICIDE,0.769230769,Low
84,RAPE,0.538461538,Low
84,ROBBERY - CARJACKING,1.307692308,Low
84,ROBBERY - COMMERCIAL,2.307692308,Low
84,ROBBERY - RESIDENCE,1.307692308,Low
84,SHOOTING,2.538461538,Low
85,ARSON,0.428571429,Low
85,HOMICIDE,0.428571429,Low
85,RAPE,1,Low
85,ROBBERY - CARJACKING,1.142857143,Low
85,ROBBERY - COMMERCIAL,2.714285714,Low
85,ROBBERY - RESIDENCE,1.428571429,Low
85,SHOOTING,1.571428571,Low
86,ARSON,0.625,Low
86,HOMICIDE,0.875,Low
86,RAPE,0.75,Low
86,ROBBERY - CARJACKING,1.375,Low
86,ROBBERY - COMMERCIAL,3,Low
86,ROBBERY - RESIDENCE,1.375,Low
86,SHOOTING,1.875,Low
87,ARSON,1,Low
87,HOMICIDE,1.666666667,Low
87,RAPE,1,Low
87,ROBBERY - CARJACKING,0.666666667,Low
87,ROBBERY - COMMERCIAL,1.333333333,Low
87,ROBBERY - RESIDENCE,1.333333333,Low
87,SHOOTING,2.333333333,Low
89,HOMICIDE,0.5,Low
89,RAPE,1,Low
89,ROBBERY - CARJACKING,3.5,Low
89,ROBBERY - COMMERCIAL,1.5,Low
89,SHOOTING,4.5,Low
90,HOMICIDE,1,Low
90,RAPE,3,Low
90,ROBBERY - CARJACKING,2,Low
90,ROBBERY - COMMERCIAL,2,Low
90,ROBBERY - RESIDENCE,1,Low
90,SHOOTING,3,Low
